idserie,month,periodo,val
16,22-Sep,44,18
16,22-Oct,45,18
16,22-Nov,46,19
16,22-Dec,47,21
17,19-Jan,0,9
17,19-Feb,1,8
17,19-Mar,2,10
17,19-Apr,3,10
17,19-May,4,9
17,19-Jun,5,10
17,19-Jul,6,11
17,19-Aug,7,10
17,19-Sep,8,10
17,19-Oct,9,10
17,19-Nov,10,9
17,19-Dec,11,13
17,20-Jan,12,10
17,20-Feb,13,9
17,20-Mar,14,10
17,20-Apr,15,10
17,20-May,16,10
17,20-Jun,17,10
17,20-Jul,18,11
17,20-Aug,19,10
17,20-Sep,20,12
17,20-Oct,21,12
17,20-Nov,22,12
17,20-Dec,23,12
17,21-Jan,24,11
17,21-Feb,25,10
17,21-Mar,26,11
17,21-Apr,27,11
17,21-May,28,11
17,21-Jun,29,11
17,21-Jul,30,11
17,21-Aug,31,11
17,21-Sep,32,11
17,21-Oct,33,12
17,21-Nov,34,12
17,21-Dec,35,14
17,22-Jan,36,11
17,22-Feb,37,12
17,22-Mar,38,12
17,22-Apr,39,11
17,22-May,40,12
17,22-Jun,41,13
17,22-Jul,42,12
17,22-Aug,43,11
17,22-Sep,44,13
17,22-Oct,45,14
17,22-Nov,46,12
17,22-Dec,47,14
18,19-Jan,0,12
18,19-Feb,1,11
18,19-Mar,2,11
18,19-Apr,3,12
18,19-May,4,12
18,19-Jun,5,12
18,19-Jul,6,12
18,19-Aug,7,12
18,19-Sep,8,12
18,19-Oct,9,12
18,19-Nov,10,13
18,19-Dec,11,14
18,20-Jan,12,12
18,20-Feb,13,11
18,20-Mar,14,12
18,20-Apr,15,12
18,20-May,16,12
18,20-Jun,17,13
18,20-Jul,18,13
18,20-Aug,19,13
18,20-Sep,20,12
18,20-Oct,21,13
18,20-Nov,22,13
18,20-Dec,23,16
18,21-Jan,24,13
18,21-Feb,25,13
18,21-Mar,26,13
18,21-Apr,27,12
18,21-May,28,13
18,21-Jun,29,14
18,21-Jul,30,15
18,21-Aug,31,13
18,21-Sep,32,14
18,21-Oct,33,14
18,21-Nov,34,14
18,21-Dec,35,16
18,22-Jan,36,13
18,22-Feb,37,13
18,22-Mar,38,15
18,22-Apr,39,14
18,22-May,40,14
18,22-Jun,41,15
18,22-Jul,42,14
18,22-Aug,43,14
18,22-Sep,44,14
18,22-Oct,45,15
18,22-Nov,46,15
18,22-Dec,47,17
19,19-Jan,0,9
19,19-Feb,1,8
19,19-Mar,2,10
19,19-Apr,3,9
19,19-May,4,9
19,19-Jun,5,9
19,19-Jul,6,10
19,19-Aug,7,9
19,19-Sep,8,10
19,19-Oct,9,10
19,19-Nov,10,10
19,19-Dec,11,10
19,20-Jan,12,10
19,20-Feb,13,10
19,20-Mar,14,9
19,20-Apr,15,9
19,20-May,16,10
19,20-Jun,17,9
19,20-Jul,18,10
19,20-Aug,19,9
19,20-Sep,20,9
19,20-Oct,21,9
19,20-Nov,22,10
19,20-Dec,23,11
19,21-Jan,24,9
19,21-Feb,25,9
19,21-Mar,26,10
19,21-Apr,27,9
19,21-May,28,10
19,21-Jun,29,10
19,21-Jul,30,10
19,21-Aug,31,10
19,21-Sep,32,9
19,21-Oct,33,11
19,21-Nov,34,9
19,21-Dec,35,10
19,22-Jan,36,10
19,22-Feb,37,9
19,22-Mar,38,10
19,22-Apr,39,9
19,22-May,40,10
19,22-Jun,41,10
19,22-Jul,42,10
19,22-Aug,43,10
19,22-Sep,44,10
19,22-Oct,45,11
19,22-Nov,46,10
19,22-Dec,47,12
20,19-Jan,0,20
20,19-Feb,1,19
20,19-Mar,2,20
20,19-Apr,3,21
20,19-May,4,20
20,19-Jun,5,21
20,19-Jul,6,21
20,19-Aug,7,21
20,19-Sep,8,22
20,19-Oct,9,22
20,19-Nov,10,22
20,19-Dec,11,23
20,20-Jan,12,22
20,20-Feb,13,22
20,20-Mar,14,21
20,20-Apr,15,21
20,20-May,16,22
20,20-Jun,17,23
20,20-Jul,18,22
20,20-Aug,19,22
20,20-Sep,20,23
20,20-Oct,21,23
20,20-Nov,22,23
20,20-Dec,23,26
20,21-Jan,24,22
20,21-Feb,25,21
20,21-Mar,26,23
20,21-Apr,27,22
20,21-May,28,23
20,21-Jun,29,23
20,21-Jul,30,25
20,21-Aug,31,24
20,21-Sep,32,24
20,21-Oct,33,24
20,21-Nov,34,24
20,21-Dec,35,26
20,22-Jan,36,25
20,22-Feb,37,22
20,22-Mar,38,23
20,22-Apr,39,24
20,22-May,40,23
20,22-Jun,41,26
20,22-Jul,42,26
20,22-Aug,43,24
20,22-Sep,44,24
20,22-Oct,45,26
20,22-Nov,46,25
20,22-Dec,47,28
21,19-Jan,0,9
21,19-Feb,1,8
21,19-Mar,2,9
21,19-Apr,3,10
21,19-May,4,11
21,19-Jun,5,11
21,19-Jul,6,11
21,19-Aug,7,11
21,19-Sep,8,13
21,19-Oct,9,12
21,19-Nov,10,13
21,19-Dec,11,16
21,20-Jan,12,14
21,20-Feb,13,13
21,20-Mar,14,13
21,20-Apr,15,13
21,20-May,16,15
21,20-Jun,17,16
21,20-Jul,18,15
21,20-Aug,19,14
21,20-Sep,20,17
21,20-Oct,21,15
21,20-Nov,22,15
21,20-Dec,23,21
21,21-Jan,24,16
21,21-Feb,25,15
21,21-Mar,26,15
21,21-Apr,27,18
21,21-May,28,18
21,21-Jun,29,18
21,21-Jul,30,20
21,21-Aug,31,18
21,21-Sep,32,21
21,21-Oct,33,20
21,21-Nov,34,22
21,21-Dec,35,25
21,22-Jan,36,21
21,22-Feb,37,19
21,22-Mar,38,21
21,22-Apr,39,19
21,22-May,40,21
21,22-Jun,41,22
21,22-Jul,42,25
21,22-Aug,43,23
21,22-Sep,44,24
21,22-Oct,45,22
21,22-Nov,46,23
21,22-Dec,47,32
22,19-Jan,0,26
22,19-Feb,1,25
22,19-Mar,2,26
22,19-Apr,3,25
22,19-May,4,26
22,19-Jun,5,26
22,19-Jul,6,27
22,19-Aug,7,26
22,19-Sep,8,27
22,19-Oct,9,26
22,19-Nov,10,26
22,19-Dec,11,30
22,20-Jan,12,27
22,20-Feb,13,27
22,20-Mar,14,27
22,20-Apr,15,27
22,20-May,16,28
22,20-Jun,17,28
22,20-Jul,18,29
22,20-Aug,19,29
22,20-Sep,20,29
22,20-Oct,21,29
22,20-Nov,22,29
22,20-Dec,23,32
22,21-Jan,24,29
22,21-Feb,25,28
22,21-Mar,26,29
22,21-Apr,27,28
22,21-May,28,29
22,21-Jun,29,30
22,21-Jul,30,31
22,21-Aug,31,29
22,21-Sep,32,29
22,21-Oct,33,31
22,21-Nov,34,32
22,21-Dec,35,32
22,22-Jan,36,30
22,22-Feb,37,30
22,22-Mar,38,30
22,22-Apr,39,31
22,22-May,40,31
22,22-Jun,41,31
22,22-Jul,42,32
22,22-Aug,43,32
22,22-Sep,44,31
22,22-Oct,45,31
22,22-Nov,46,29
22,22-Dec,47,33
23,19-Jan,0,14
23,19-Feb,1,14
23,19-Mar,2,14
23,19-Apr,3,15
23,19-May,4,15
23,19-Jun,5,15
23,19-Jul,6,15
23,19-Aug,7,14
23,19-Sep,8,15
23,19-Oct,9,15
23,19-Nov,10,16
23,19-Dec,11,17
23,20-Jan,12,15
23,20-Feb,13,14
23,20-Mar,14,14
23,20-Apr,15,14
23,20-May,16,15
23,20-Jun,17,15
23,20-Jul,18,15
23,20-Aug,19,15
23,20-Sep,20,16
23,20-Oct,21,16
23,20-Nov,22,16
23,20-Dec,23,16
23,21-Jan,24,14
23,21-Feb,25,14
23,21-Mar,26,14
23,21-Apr,27,14
23,21-May,28,15
23,21-Jun,29,15
23,21-Jul,30,15
23,21-Aug,31,15
23,21-Sep,32,15
23,21-Oct,33,16
23,21-Nov,34,15
23,21-Dec,35,17
23,22-Jan,36,15
23,22-Feb,37,14
23,22-Mar,38,15
23,22-Apr,39,15
23,22-May,40,15
23,22-Jun,41,16
23,22-Jul,42,16
23,22-Aug,43,15
23,22-Sep,44,16
23,22-Oct,45,16
23,22-Nov,46,15
23,22-Dec,47,19
24,19-Jan,0,10
24,19-Feb,1,9
24,19-Mar,2,9
24,19-Apr,3,9
24,19-May,4,10
24,19-Jun,5,10
24,19-Jul,6,10
24,19-Aug,7,10
24,19-Sep,8,11
24,19-Oct,9,11
24,19-Nov,10,11
24,19-Dec,11,13
24,20-Jan,12,11
24,20-Feb,13,10
24,20-Mar,14,11
24,20-Apr,15,11
24,20-May,16,10
24,20-Jun,17,12
24,20-Jul,18,11
24,20-Aug,19,11
24,20-Sep,20,12
